customer_id,first_name,last_name,DOB,job_title,deceased_indicator,owns_car,address,postcode,property_valuation,state_id,country_id,gender_id,job_industry_id,wealth_segment_id
21,Mile,Cammocke,20/09/1980,Safety Technician I,N,Yes,28 5th Center,4413,3,2,0,1,5,1
24,Kim,Skpsey,03/12/1977,Research Assistant I,N,Yes,48 Eagan Avenue,4868,4,2,0,0,0,3
25,Geoff,Assaf,02/12/1976,Accounting Assistant III,N,Yes,9 Buell Park,4116,7,2,0,1,2,3
26,Trixi,Ginnelly,10/06/1978,Editor,N,Yes,02663 Buell Parkway,2519,11,0,0,0,2,3
27,Garvin,Klees,25/09/1978,Research Nurse,N,Yes,2294 Pleasure Place,2135,12,0,0,1,3,3
28,Fee,Zellmer,30/09/1973,Senior Quality Engineer,N,Yes,2951 Petterle Place,2756,9,0,0,1,3,1
29,Mona,Sancraft,22/06/1968,Safety Technician III,N,No,63 Lukken Drive,2170,9,0,0,0,5,3
31,Star,Praton,24/11/1962,Staff Accountant III,N,Yes,34 Russell Plaza,4127,6,2,0,0,9,2
32,Marion,Vanichkin,20/04/1995,Legal Assistant,N,No,78 Del Sol Hill,2535,8,0,0,0,5,1
33,Ernst,Hacon,25/06/1957,Product Engineer,N,Yes,54 Sage Plaza,4726,1,2,0,1,6,1
35,Margaretha,Strettle,28/09/1963,Information Systems Manager,N,Yes,38726 Ilene Crossing,2212,10,0,0,0,3,2
36,Lurette,Stonnell,09/11/1977,VP Quality Control,N,No,3496 Brown Drive,2207,8,0,0,0,6,1
37,Laurie,Dwerryhouse,22/12/1985,Social Worker,N,No,7188 Cody Way,3350,9,3,0,0,3,2
38,Cordi,Merman,29/10/1955,Senior Cost Accountant,N,No,1 Claremont Park,3931,10,3,0,0,2,1
39,Hunfredo,Smalley,16/04/1979,Assistant Media Planner,N,No,60 Eagan Circle,4018,8,2,0,1,1,3
40,Tomasine,Jerche,27/10/1981,Payment Adjustment Coordinator,N,No,89314 Eagle Crest Center,4670,2,2,0,0,5,1
41,Basilius,Coupe,14/04/1976,Food Chemist,N,No,2028 Lakewood Place,2480,3,0,0,1,3,3
42,Chiquita,Durnall,28/03/1977,Accountant III,N,No,70875 Hudson Point,3212,6,3,0,0,5,3
43,Indira,Belt,01/03/1983,Director of Sales,N,No,543 Killdeer Park,2322,4,0,0,0,8,3
44,Neron,Verick,18/10/1981,Assistant Media Planner,N,Yes,22125 Ramsey Drive,3198,9,3,0,1,1,1
45,Trace,Woodhead,23/09/1975,Senior Financial Analyst,N,No,3107 Calypso Terrace,2210,9,0,0,1,2,3
47,Matthew,Jeaycock,22/10/1992,Registered Nurse,N,No,4853 Gulseth Avenue,4503,5,2,0,1,3,1
48,Rebbecca,Casone,15/08/1975,Biostatistician II,N,Yes,9 Michigan Terrace,2145,8,0,0,0,6,3
49,Nolly,Ownsworth,26/01/1994,VP Quality Control,N,No,62 Steensland Road,4350,3,2,0,1,6,1
50,Whitby,Schapero,01/10/1980,Account Executive,N,Yes,6 Homewood Avenue,2142,8,0,0,1,5,3
51,Fidelio,Dilke,05/12/1959,Computer Systems Analyst II,N,No,15 Almo Lane,2029,10,0,0,1,8,3
53,Agnella,Gocke,18/04/1954,Software Test Engineer II,N,No,89787 Village Green Terrace,4280,6,2,0,0,2,3
54,Loralyn,Wonfor,24/07/1966,Sales Associate,N,Yes,18 Elgar Park,2166,9,0,0,0,7,3
55,Linc,Jillions,24/09/1956,Paralegal,N,Yes,413 Mayer Street,2046,9,0,0,1,2,1
56,Reese,Ensor,04/07/1996,VP Sales,N,Yes,39 3rd Drive,2026,10,0,0,1,7,3
57,Abba,Masedon,13/06/1988,Chief Design Engineer,N,Yes,44516 Katie Parkway,2765,7,0,0,1,6,3
58,Dalenna,Pinnock,04/07/1967,Office Assistant III,N,Yes,41 Schurz Center,2749,8,0,0,0,2,1
59,Niki,Heathcote,08/02/2000,Physical Therapy Assistant,N,No,68150 Boyd Road,2745,9,0,0,1,6,2
61,Kacey,Rowbottom,29/11/1959,Help Desk Operator,N,No,308 Jana Crossing,2153,10,0,0,0,7,2
63,Ebony,Zini,03/07/1965,Senior Quality Engineer,N,Yes,68294 Clarendon Crossing,2230,10,0,0,0,8,3
64,Gerek,Yve,25/03/1978,Legal Assistant,N,No,486 Mariners Cove Plaza,3046,7,3,0,1,4,2
65,Yale,Tanser,01/04/1976,Information Systems Manager,N,Yes,0322 Dryden Court,3183,7,3,0,1,2,1
66,Anselm,Gawne,11/03/2002,Account Executive,N,No,9 Bonner Road,2070,12,0,0,1,0,2
68,Dahlia,Eddoes,21/04/1974,Information Systems Manager,N,No,29466 Hanson Pass,4208,6,2,0,0,6,1
69,Heidi,Milner,22/06/1969,Web Developer II,N,No,0212 Forest Run Trail,2774,8,0,0,0,6,3
70,Foster,Vannoort,27/02/1993,Paralegal,N,No,33055 Menomonie Parkway,4133,8,2,0,1,2,1
71,Hoyt,Glavias,27/01/1985,Research Associate,N,Yes,4763 Merchant Avenue,2756,8,0,0,1,0,1
72,Sammy,Cheese,13/02/1972,Administrative Officer,N,Yes,439 Ridgeway Court,4213,9,2,0,1,5,1
73,Minette,Worters,27/05/1960,Teacher,N,Yes,2 Clyde Gallagher Lane,4170,5,2,0,0,6,1
75,Dollie,Sealy,15/07/1978,VP Product Management,N,No,9527 Ridgeway Street,2073,10,0,0,0,7,3
76,Rea,Hasser,23/01/1978,Statistician II,N,Yes,7 Jackson Point,3561,1,3,0,0,8,2
77,Shermie,Andrin,12/09/1989,Automation Specialist IV,N,No,74 Anniversary Junction,2330,6,0,0,1,2,3
78,Arch,Van der Kruis,12/03/1985,Business Systems Development Analyst,N,No,2083 Spaight Court,3977,8,3,0,1,0,1
79,Tybi,Silliman,02/10/1968,Account Executive,N,No,2796 Caliangt Circle,2204,12,0,0,0,5,3
80,Pablo,Small,24/04/1978,Data Coordiator,N,No,96061 Ludington Place,2086,11,0,0,1,1,3
82,Gleda,Cokely,28/06/1965,Software Test Engineer III,N,No,289 Haas Street,2075,11,0,0,0,7,2
83,Kerr,Simmell,26/02/1967,Internal Auditor,N,Yes,4423 Bartelt Parkway,2038,12,0,0,1,4,3
84,Rich,Mathiasen,07/02/1958,Accountant III,N,Yes,5 Grim Center,2069,12,0,0,1,6,3
85,Kane,Tixall,21/05/1958,Analyst Programmer,N,No,73042 Roth Crossing,2100,11,0,0,1,6,3
86,Job,Sleney,04/03/1989,Occupational Therapist,N,Yes,171 Fordem Junction,2233,10,0,0,1,3,2
87,Fields,Langdon,23/04/1974,Editor,N,No,2640 Manley Point,2166,9,0,0,1,2,3
88,Malynda,Tumber,03/02/1966,Help Desk Operator,N,Yes,3 Hintze Pass,3133,10,3,0,0,7,2
89,Benedicto,Hoxey,22/01/1967,Speech Pathologist,N,Yes,2 Mcbride Road,3070,10,3,0,1,3,3
90,Cary,Garron,12/11/1984,Quality Control Specialist,N,No,67234 Transport Hill,2777,7,0,0,1,5,3
91,Dylan,Meaker,24/02/1955,Senior Financial Analyst,N,Yes,72 Dorton Crossing,3133,10,3,0,1,2,1
92,Jodee,Judkins,11/09/1980,Recruiting Manager,N,No,6 Heffernan Center,2125,11,0,0,0,3,3
93,Gordon,Gowar,16/07/1976,Project Manager,N,Yes,6088 Roxbury Hill,2766,8,0,0,1,8,3
94,Wallache,Simchenko,07/08/1974,Civil Engineer,N,No,105 Shelley Alley,2209,10,0,0,1,5,3
95,Nomi,Mallinder,25/12/1960,Software Engineer III,N,Yes,079 Merry Park,2160,9,0,0,0,5,1
96,Heath,Olford,31/08/1968,Nuclear Power Engineer,N,No,8722 Summit Alley,2065,12,0,0,1,5,3
97,Arne,Corain,27/07/1979,Community Outreach Specialist,N,Yes,9554 Artisan Pass,2150,10,0,0,1,2,3
98,Allianora,Babalola,17/03/1956,Safety Technician IV,N,No,55850 Butterfield Road,2168,9,0,0,0,3,3
99,Reggie,Mulliner,13/06/1998,VP Accounting,N,No,68 Little Fleur Crossing,2046,12,0,0,1,2,3
100,Tripp,Steed,11/05/1968,General Manager,N,Yes,85688 New Castle Crossing,4171,10,2,0,1,2,3
101,Goran,Kwietek,29/12/1975,Nurse Practicioner,N,No,8611 Loomis Lane,2155,10,0,0,1,5,2
102,Langsdon,Tranfield,27/11/1956,Quality Control Specialist,N,No,7909 Pierstorff Crossing,2517,9,0,0,1,5,1
103,Ethyl,Runham,21/04/1997,Product Engineer,N,Yes,01 Muir Parkway,2096,12,0,0,0,2,1
104,Odille,Panketh,06/06/1978,Automation Specialist II,N,Yes,0410 Division Junction,2750,8,0,0,0,3,3
105,Maribeth,Pristnor,17/09/2001,Recruiting Manager,N,No,41 Service Lane,2217,11,0,0,0,5,3
107,Pris,Stallebrass,01/07/1990,Nurse Practicioner,N,Yes,7342 Fieldstone Junction,2093,12,0,0,0,2,3
109,Cody,Blabey,11/12/1978,Marketing Assistant,N,Yes,15239 Northwestern Point,4300,4,2,0,1,6,1
111,Cele,Evason,29/08/1993,Analyst Programmer,N,No,8194 Sachtjen Drive,3844,1,3,0,0,6,3
112,Shena,Parren,12/08/1975,Marketing Manager,N,No,0349 Farmco Terrace,2168,8,0,0,0,8,2
113,Gage,Nickless,06/05/1956,Staff Scientist,N,No,185 Pennsylvania Way,4226,6,2,0,1,6,3
114,Sunny,Swindells,23/10/1985,Teacher,N,No,432 Longview Circle,3192,10,3,0,0,1,1
115,Alberik,Mereweather,21/12/1981,Account Executive,N,No,5814 Bunker Hill Street,3070,7,3,0,1,3,3
116,Scottie,Swiffen,05/02/1999,Assistant Professor,N,Yes,7 Carberry Crossing,2485,2,0,0,1,5,1
117,Nance,Suttling,23/02/1982,Marketing Manager,N,No,53 Talisman Trail,2097,9,0,0,0,5,3
118,Prentice,Pearmain,12/11/1959,Budget/Accounting Analyst IV,N,No,5 Prairie Rose Road,4817,2,2,0,1,6,2
119,Willey,Chastanet,04/12/1981,Associate Professor,N,Yes,84 Florence Parkway,2516,8,0,0,1,6,2
120,Sloan,Wagg,02/09/1978,Legal Assistant,N,Yes,739 Elmside Way,3074,8,3,0,1,2,2
121,Myles,Pauncefort,02/10/1957,Graphic Designer,N,No,684 Northport Circle,2213,10,0,0,1,5,3
122,Colver,Itter,19/04/1979,Quality Control Specialist,N,Yes,8 Hagan Hill,4508,4,2,0,1,2,3
123,Almeta,Kalinsky,03/12/1988,Analyst Programmer,N,No,0 Pearson Crossing,4405,1,2,0,0,2,2
124,Kath,Cunney,03/05/1995,Administrative Assistant II,N,Yes,10918 Merry Way,2452,5,0,0,0,3,2
125,Darrelle,Antoniewski,17/03/1960,Computer Systems Analyst II,N,No,97 Coolidge Trail,2142,9,0,0,0,7,3
126,Norman,Cliff,15/10/1992,Administrative Officer,N,Yes,58 Helena Hill,2205,7,0,0,1,3,3
127,Merrili,Whitear,03/12/1974,Compensation Analyst,N,No,352 Forster Place,4132,3,2,0,0,2,3
128,Isidro,Cypler,17/07/1977,Systems Administrator III,N,Yes,12306 Lawn Street,2145,8,0,0,1,7,3
129,Weidar,Silkstone,20/07/1985,Financial Advisor,N,Yes,19392 7th Trail,4744,1,2,0,1,2,2
130,Raddy,Delete,18/07/1997,Chemical Engineer,N,No,1605 Northfield Junction,2158,11,0,0,1,5,3
131,Jana,Renyard,16/10/1964,Administrative Officer,N,No,9674 Graceland Junction,3201,6,3,0,0,8,2
132,Celesta,Willavoys,07/07/1963,Web Designer I,N,Yes,638 Thackeray Junction,4178,3,2,0,0,5,3
133,Eldridge,Fiddeman,13/06/1977,VP Accounting,N,Yes,869 Forster Circle,2112,10,0,0,1,2,3
134,Merna,McCulloch,01/08/1997,Legal Assistant,N,Yes,0 Golden Leaf Crossing,2033,9,0,0,0,9,1
135,Rosalia,Sigart,18/01/1975,Internal Auditor,N,No,215 Lindbergh Trail,4401,1,2,0,0,4,3
136,Mel,Bennet,26/05/1973,Senior Developer,N,Yes,829 Washington Crossing,3186,9,3,0,1,5,2
137,Vaughn,Artin,21/11/1987,Office Assistant II,N,No,585 Loomis Court,2097,11,0,0,1,7,2
138,Onofredo,Franc,28/04/1985,Recruiter,N,Yes,68063 Blue Bill Park Center,3058,9,3,0,1,2,1
140,Morrie,Flaxon,20/05/1994,Programmer Analyst III,N,No,22 Oxford Junction,2315,3,0,0,1,5,3
141,Townsend,Trobe,25/06/1954,Teacher,N,Yes,7245 Cottonwood Center,2285,5,0,0,1,2,2
142,Bentley,Fortesquieu,07/08/1967,Quality Engineer,N,No,20382 Spohn Alley,2219,11,0,0,1,3,1
143,Kendall,Figg,01/09/1957,Operator,N,Yes,12375 Cambridge Pass,2065,11,0,0,1,0,3
145,Filippo,Ferrara,21/07/1997,Account Executive,N,No,939 Coleman Pass,4509,7,2,0,1,2,3
146,Ricoriki,Matlock,08/04/1985,Quality Control Specialist,N,No,69914 Bowman Place,2330,7,1,0,1,5,3
147,Rea,Pattrick,06/12/1973,Analog Circuit Design manager,N,Yes,34457 Springview Street,2759,9,1,0,0,3,3
148,Jaquith,Maffey,08/05/1981,Programmer Analyst III,N,Yes,992 Old Shore Trail,2069,12,1,0,0,6,3
149,Drucy,Kausche,31/01/1995,Research Nurse,N,Yes,453 Sheridan Street,2747,8,1,0,0,3,3
150,Bradly,Crosse,23/08/1983,Cost Accountant,N,No,8 Mccormick Crossing,2227,8,1,0,1,2,1
151,Donnie,Brimson,31/01/1965,Marketing Manager,N,Yes,63344 Holmberg Crossing,2025,10,1,0,1,5,3
152,Stephana,Cardew,03/03/1981,Compensation Analyst,N,No,9 Huxley Circle,3191,11,3,0,0,2,3
153,Lorilyn,Walshe,28/07/1977,Assistant Media Planner,N,Yes,0 Hazelcrest Road,3025,8,3,0,0,1,3
154,Faydra,Dulieu,13/02/1958,Junior Executive,N,No,2 Continental Plaza,2263,6,1,0,0,6,3
155,Orran,Bogges,28/12/1985,Quality Engineer,N,No,80 Duke Terrace,2233,10,1,0,1,5,3
156,Shayla,Rimmington,09/09/1979,Cost Accountant,N,Yes,860 Hintze Lane,2154,11,1,0,0,2,3
157,Chad,Houtby,23/11/1974,Financial Advisor,N,No,3723 Bunker Hill Circle,2065,10,1,0,1,2,1
158,Hamlin,Odams,03/09/1984,Internal Auditor,N,No,5 Corry Court,2119,10,1,0,1,6,1
159,Arin,Matskevich,12/05/1987,Research Nurse,N,No,65105 Sommers Pass,3016,10,3,0,1,3,1
160,Wake,Durning,15/07/1964,Registered Nurse,N,No,2054 Sommers Pass,4113,4,2,0,1,3,3
162,Port,Acuna,12/08/1979,Nurse Practicioner,N,No,35807 Oneill Way,4300,4,2,0,1,4,3
163,Kessia,Helder,06/09/1976,Librarian,N,Yes,75612 Clarendon Junction,4352,6,2,0,0,1,2
164,Aarika,Van Vuuren,07/08/1999,Senior Editor,N,Yes,16 Golf View Center,3020,6,3,0,0,8,1
165,Aldon,Roelofs,25/03/1984,Administrative Officer,N,Yes,93 Iowa Junction,2116,9,1,0,1,0,3
166,Elston,Oleszczak,12/06/1955,Structural Analysis Engineer,N,No,48 Cascade Terrace,3057,8,3,0,1,5,1
169,Alfy,Bruhnke,19/10/1957,Data Coordiator,N,Yes,2 Randy Point,2766,8,1,0,1,9,2
170,Jammal,Gever,02/06/1975,Pharmacist,N,No,6898 Redwing Park,2148,9,1,0,1,3,2
171,Halli,Davidoff,04/12/1970,Assistant Manager,N,No,52273 Bay Place,3145,11,3,0,0,5,3
172,Hilton,Carney,12/09/1988,Editor,N,Yes,272 Montana Avenue,2021,8,1,0,1,5,1
173,Ebba,Hanselmann,02/01/1997,General Manager,N,No,82520 Mifflin Drive,2333,5,1,0,0,3,1
174,Catie,Tosspell,26/11/1989,Food Chemist,N,No,8 Dixon Parkway,2783,7,1,0,0,3,3
175,Templeton,Hambrook,28/11/1975,Quality Engineer,N,No,4 Dayton Terrace,2280,9,1,0,1,5,1
176,Angelo,Clayal,13/04/1992,Accountant I,N,No,216 Barnett Junction,4120,8,2,0,1,7,3
177,Ondrea,Pablos,09/11/1989,Professor,N,No,8256 Annamark Court,3638,1,3,0,0,2,2
179,Esteban,Sewill,11/05/1966,Environmental Tech,N,Yes,8 Haas Park,2074,10,1,0,1,5,2
180,Trisha,Neasham,17/09/1971,Web Designer III,N,No,50 Meadow Ridge Way,2880,1,1,0,0,0,1
181,Pavla,Braunle,21/11/1982,Senior Editor,N,No,3567 Northfield Lane,2430,5,1,0,0,5,3
182,Lydon,Dahlman,20/11/1992,Sales Associate,N,Yes,0059 Brentwood Road,4560,7,2,0,1,2,1
183,Dannie,Hissie,05/08/1997,Geologist III,N,No,0274 Oneill Alley,2088,10,1,0,0,8,1
184,Nappie,Paolo,13/12/1971,Marketing Manager,N,Yes,4179 Carioca Terrace,2220,11,1,0,1,5,2
186,Mireielle,Jeppe,06/05/1974,Software Test Engineer I,N,No,7 Warbler Point,2250,9,1,0,0,2,3
187,Pincas,Ather,28/01/1954,Structural Engineer,N,No,3 Buell Park,2261,7,1,0,1,6,3
188,Audry,Seine,22/06/1975,Safety Technician II,N,Yes,0 Bay Center,3196,6,3,0,0,7,2
189,Umberto,Torricella,19/07/1981,Safety Technician I,N,No,10878 Waywood Way,4352,7,2,0,1,2,1
190,Hayley,Girardengo,04/02/1979,Registered Nurse,N,No,362 Mayer Terrace,4680,5,2,0,0,3,1
191,Christopher,Heining,27/04/1960,Help Desk Operator,N,Yes,43 Upham Crossing,3143,9,3,0,1,6,1
192,Goldi,Osler,19/11/1978,Junior Executive,N,Yes,0 Superior Drive,2747,8,1,0,0,3,3
193,Foss,Hardes,22/07/1964,Recruiting Manager,N,Yes,8890 Golden Leaf Street,2063,12,1,0,1,5,3
194,Ursala,Ferrai,16/11/1974,Web Developer III,N,No,5484 Hagan Crossing,3021,7,3,0,0,2,1
195,Talyah,Rylatt,14/11/1958,Project Manager,N,No,7451 Jana Lane,2138,8,1,0,0,5,3
196,Swen,Odhams,22/02/1966,Programmer Analyst II,N,No,7 Havey Point,4005,2,2,0,1,5,2
198,Vanya,Gumb,29/11/1981,Assistant Media Planner,N,No,107 Elmside Parkway,4811,5,2,0,0,1,3
199,Verla,Alven,13/02/1978,Junior Executive,N,Yes,2 Gina Junction,2085,11,1,0,0,3,3
200,Hube,Weald,04/02/1957,Physical Therapy Assistant,N,Yes,4 Londonderry Lane,3084,10,3,0,1,7,1
201,Salem,Huie,20/04/1966,Design Engineer,N,Yes,39716 Vera Junction,3170,9,3,0,1,5,3
202,Audie,Pillinger,24/06/1963,Librarian,N,Yes,183 Ronald Regan Street,2066,9,1,0,0,1,1
203,Donovan,Conry,13/01/1964,Senior Quality Engineer,N,Yes,2 Thierer Road,4113,8,2,0,1,0,3
204,Thorny,Hackworth,01/10/1976,Editor,N,No,056 Stone Corner Alley,4078,7,2,0,1,2,3
205,Rolfe,Kellard,01/12/1958,Administrative Assistant II,N,Yes,528 Mandrake Crossing,2222,11,1,0,1,2,3
206,Mari,Chevolleau,19/07/1954,Statistician I,N,Yes,19969 5th Parkway,3152,9,3,0,0,6,3
208,Rutter,Excell,31/10/1994,Office Assistant III,N,No,417 Transport Trail,4503,4,2,0,1,7,2
209,Udall,Bellard,28/08/1957,Analog Circuit Design manager,N,Yes,6327 Lunder Crossing,4655,4,2,0,1,6,1
210,Albrecht,Thomasson,18/11/1963,Assistant Manager,N,No,811 Tony Road,4220,9,2,0,1,7,3
212,Nanice,Ellse,19/11/2001,Desktop Support Technician,N,No,231 Havey Court,2153,10,1,0,0,4,1
213,Lockwood,Exroll,14/05/1996,Actuary,N,Yes,603 Kenwood Avenue,2070,11,1,0,1,2,2
214,Jeramie,Cellier,29/11/1957,Food Chemist,N,No,09040 Myrtle Parkway,2015,8,1,0,1,3,3
215,Debera,Foxworthy,24/06/1974,Assistant Professor,N,Yes,05241 Shelley Park,2776,8,1,0,0,8,2
216,Cinderella,Parcall,12/01/1995,Quality Engineer,N,Yes,7 Pankratz Point,3011,8,3,0,0,2,2
218,Stefa,Dunnan,06/08/1993,Administrative Officer,N,Yes,49 Emmet Junction,2015,11,1,0,0,7,2
219,Markus,Mughal,25/11/1964,Database Administrator III,N,No,78 Surrey Place,2502,7,1,0,1,3,3
220,Jeniffer,Apark,10/05/1954,Electrical Engineer,N,No,6236 Summerview Terrace,2110,12,1,0,0,5,2
221,Mara,Bloore,10/03/1980,Tax Accountant,N,No,682 Sheridan Avenue,2566,9,1,0,0,5,3
222,Nev,Larive,03/09/1978,Clinical Specialist,N,No,04139 Delladonna Place,2519,7,1,0,1,3,3
223,Ossie,Meaton,26/11/1983,VP Sales,N,Yes,2 Scott Circle,2506,9,1,0,1,6,1
224,Morgun,Girvan,03/12/1967,Compensation Analyst,N,No,92253 Kensington Drive,2209,7,1,0,1,2,1
225,Brittaney,Pring,11/03/1977,Pharmacist,N,No,93 Westend Terrace,2116,10,1,0,0,3,1
226,Bondie,Letty,11/11/1977,Database Administrator IV,N,No,4 5th Point,2075,11,1,0,1,5,3
227,Wendall,McKeand,14/08/1973,Accountant I,N,No,11667 Blackbird Street,2226,10,1,0,1,1,3
228,Lucia,Pickervance,25/05/1986,Systems Administrator II,N,No,0 Sommers Circle,2145,9,1,0,0,5,2
230,Maegan,Scyone,24/06/1954,Internal Auditor,N,No,816 Spohn Center,2036,10,1,0,0,7,2
231,Basile,Winsor,05/08/1995,Design Engineer,N,Yes,98 Service Court,2018,8,1,0,1,2,3
232,Zaria,Koeppke,11/11/1987,Professor,N,No,6 Morning Park,3666,2,3,0,0,8,3
233,Art,Barwell,08/08/1986,Environmental Tech,N,No,4263 Hanson Place,2021,11,1,0,1,7,3
234,Mead,Alpes,12/08/1969,Chief Design Engineer,N,No,6159 Katie Street,2750,8,1,0,0,8,2
235,Leona,Phateplace,26/12/1976,Social Worker,N,No,95 Eliot Street,4514,3,2,0,0,3,3
236,Tybalt,Gillingwater,30/10/1954,Research Nurse,N,No,0 Westend Park,2525,9,1,0,1,3,1
237,Reginald,Dartan,07/03/1974,Account Coordinator,N,Yes,39988 Porter Pass,4152,7,2,0,1,7,2
238,Max,Bilborough,04/02/1984,Programmer III,N,Yes,0796 Melody Park,2200,9,1,0,1,6,3
239,Wells,Pressman,13/12/1992,Registered Nurse,N,No,2914 Vahlen Lane,2250,8,1,0,1,3,1
240,Gavin,Fawks,28/07/1989,Administrative Assistant III,N,Yes,65 Kinsman Trail,3023,6,3,0,1,4,2
241,Quillan,Duigan,09/05/1987,Quality Engineer,N,No,07227 Hoard Terrace,3500,1,3,0,1,1,3
242,Taite,Droghan,20/03/1992,Nurse,N,No,25503 Evergreen Drive,4300,5,2,0,1,7,1
243,Barbara,Croxley,02/09/1976,Teacher,N,Yes,2 2nd Plaza,2283,4,1,0,0,5,2
245,Noell,Grahlmans,26/09/2001,Associate Professor,N,No,37024 Anniversary Place,2204,11,1,0,0,2,1
246,Binny,Whight,28/02/1991,Technical Writer,N,No,91141 Huxley Parkway,2040,10,1,0,0,5,2
247,Kristal,Joysey,06/05/1983,Staff Accountant II,N,Yes,04 Fallview Trail,2749,8,1,0,0,2,2
248,Inger,Eskell,15/04/1978,Clinical Specialist,N,Yes,8029 Gulseth Center,2304,7,1,0,0,3,1
249,D'arcy,Slay,13/09/1992,Quality Control Specialist,N,No,77248 Columbus Drive,2340,7,1,0,1,4,2
252,Anthea,Ruskin,24/01/1983,Account Coordinator,N,Yes,5130 Manley Court,2287,7,1,0,0,7,3
253,Amalee,Choak,11/05/1997,Food Chemist,N,Yes,879 Coolidge Point,2324,5,1,0,0,3,3
254,Barbie,Rubi,22/09/1961,Information Systems Manager,N,No,6759 Nevada Point,2323,6,1,0,0,8,3
255,Keeley,Kruger,15/01/1954,Desktop Support Technician,N,No,8208 Parkside Point,2320,6,1,0,0,4,3
256,Linell,Beadle,07/05/1975,Director of Sales,N,Yes,15 Straubel Way,4680,2,2,0,0,3,2
258,Othella,Keher,03/05/1992,Administrative Officer,N,No,42067 Duke Terrace,2031,10,1,0,0,5,2
259,Venita,Dymick,22/07/1983,Senior Developer,N,Yes,50 Everett Way,2064,9,1,0,0,3,2
260,Farand,Marriner,30/08/1979,Senior Quality Engineer,N,Yes,454 Green Ridge Avenue,2176,10,1,0,0,3,2
261,Marve,Pryn,15/10/1977,Structural Engineer,N,No,19220 Evergreen Crossing,3195,9,3,0,1,6,3
263,Tonia,Leigh,19/11/1985,Dental Hygienist,N,No,48 Arizona Drive,2768,10,1,0,0,3,2
264,Jedd,Spiby,07/12/1977,Technical Writer,N,No,92 Lyons Place,2752,9,1,0,1,3,3
265,Pennie,Stoile,05/10/1965,Sales Representative,N,Yes,47 Jana Junction,3802,7,3,0,1,8,2
266,Lelia,Garatty,19/07/1989,Account Executive,N,No,90173 Oneill Place,3071,10,3,0,0,8,1
268,Kacie,Kidston,18/10/1978,Chemical Engineer,N,No,5668 Corscot Circle,2065,12,1,0,0,5,3
269,Zacherie,Grindley,19/09/1954,Nurse Practicioner,N,Yes,8 Texas Plaza,3081,9,3,0,1,7,3
270,Auberta,Roundtree,10/12/1970,Budget/Accounting Analyst III,N,Yes,32062 Oak Terrace,3205,8,3,0,0,6,3
271,Doll,Burtwell,13/02/1991,Financial Advisor,N,No,07158 Roth Pass,2165,4,1,0,0,2,3
272,Arlie,Crean,06/06/1987,Product Engineer,N,Yes,370 Portage Parkway,3125,8,3,0,0,8,3
273,Nevile,Abraham,22/04/1963,Computer Systems Analyst IV,N,No,19795 Bultman Circle,4214,8,2,0,1,6,3
274,Tessi,Hesse,15/09/1976,Social Worker,N,Yes,3 Corscot Crossing,2030,12,1,0,0,3,3
277,Jehanna,Alvarado,19/02/1956,VP Product Management,N,No,36 Vidon Parkway,2798,6,1,0,0,6,2
278,Sydney,Georger,30/07/1997,Executive Secretary,N,Yes,8 Riverside Place,4211,5,2,0,1,6,1
